Gene A,Gene B,Score
YCL044C,YDR322W,8.195104976050685e-18
YCL044C,YBR122C,8.443126810918585e-18
YCL044C,YBR268W,1.0551631496558916e-23
YCL044C,YKL170W,1.6449102019314968e-20
YCL044C,YOR335C,1.8763652220665208e-24
YCL044C,YML009C,1.1045786088228907e-16
YCL044C,YBR121C,9.687192194591394e-24
YCL044C,YPL173W,3.668635189509404e-23
YCL044C,YMR225C,1.1978725567807172e-20
YCL044C,YDR041W,1.6232620775074172e-19
YCL044C,YJL096W,4.735479258968697e-25
YCL044C,YER050C,2.7937738521265423e-15
YCL044C,YNR022C,2.571824885668838e-20
YCL044C,YNR037C,5.265662724474884e-19
YCL044C,YPR100W,1.699565006013573e-23
YCL044C,YKL155C,1.4453201159091186e-32
YCL044C,YHR147C,5.999641149249411e-20
YCL044C,YGL129C,9.24188822493608e-32
YCL044C,YDR237W,1.0622169244684386e-26
YCL044C,YDR175C,2.7881893229598544e-19
YCL044C,YJL063C,2.2239466473588463e-20
YCL044C,YIL093C,1.9920417562578817e-21
YCL044C,YJR101W,2.2251673446075373e-21
YCL044C,YOL023W,4.8905308559660186e-27
YCL044C,YGR215W,6.753259729817276e-25
YCL044C,YPL040C,5.188811570961084e-20
YCL044C,YNR036C,2.673182584577577e-13
YCL044C,YMR282C,1.0001490314221731e-22
YCL044C,YPL013C,1.8033097962391464e-20
YCL044C,YMR188C,4.006482692877115e-28
YCL044C,YJR113C,9.726667798151895e-16
YCL044C,YDR115W,2.4517693132795694e-20
YCL044C,YNL306W,2.439662543403677e-25
YCL044C,YDR337W,1.1046970875563879e-15
YCL044C,YGR165W,7.208931254175804e-19
YCL044C,YBR251W,9.852377831676487e-21
YCL044C,YMR158W,4.978348350308718e-31
YCL044C,YBR146W,2.360507381025389e-20
YCL044C,YPL183W-A,6.701720775548203e-12
YCL044C,YCR046C,8.723090880267265e-15
YCL044C,YCR071C,5.293426524747343e-15
YCL044C,YHR011W,4.95634870459631e-16
YCL044C,YPL104W,1.1970217027679429e-22
YCL044C,YNL137C,1.6751026062200754e-27
YCL044C,YOL033W,5.7276255513094755e-21
YCL044C,YPR047W,4.121839958375971e-19
YCL044C,YBL080C,2.0406903160336566e-21
YCL044C,YOR158W,1.1057711551120084e-17
YCL044C,YLR139C,2.1052631672729986e-18
YCL044C,YDR347W,6.746305991379876e-18
YCL044C,YDL045W-A,5.657029846164944e-22
YCL044C,YNL073W,3.3692790207562544e-30
YCL044C,YGR084C,2.541610651229964e-27
YCL044C,YKL003C,3.215901928738121e-19
YCL044C,YPR166C,1.0221318964127177e-19
YCL044C,YDR405W,2.662997967093003e-18
YNL310C,YHL004W,2.304397602235055e-16
YNL310C,YPL118W,4.317539060139097e-05
YNL310C,YNL005C,2.3237443219636944e-11
YNL310C,YHR091C,1.6535009572690002e-16
YNL310C,YLR069C,2.449271491731294e-14
YNL310C,YDR116C,7.146777614153166e-11
